Jenis,Nama Kolam,Alamat Lengkap,Kecamatan,Harga Tiket,Panjang,Kedalaman,Jalur,Papan Start,Pace Clock,Fasilitas,Kebersihan,Lokasi,Rating,Air Hangat,Link Gogle Maps
Umum,Kolam Renang Zwembad Stadion Gajayana,Jl. Tangkuban Perahu No.18 Kauman,Klojen,10000-15000,50m,1.7-2.2m,8,Ada,Ada,"Loker, ruang ganti, kolam anak, tribun",Cukup,Sangat Mudah,4.0,Tidak,https://maps.app.goo.gl/LV48RrCNWZ1BpXjd8
Umum,Kolam Renang Tirta Marabunta,Jl. Kesatrian Lapangan Rampal,Blimbing,15000,50m,1.45-2m,10,Ada,Ada,"Loker, ruang ganti, kamar bilas, kolam anak",Bersih,Mudah,4.3,Tidak,https://maps.app.goo.gl/7fa2BzWeLm5DhRru7
Umum,Taman Rekreasi Tlogomas,Jl. Baiduri Pandan No.17 Tlogomas,Lowokwaru,10000-30000,50m,1-3m,6,Ada,Tidak,"Kolam dewasa, kolam anak, seluncuran",Cukup,Mudah,4.4,Tidak,https://maps.app.goo.gl/ro4zNj3WhFjmAdkH8
Umum,UM Swimming Pool,Jl. Graha Cakrawala No.17 Sumbersari,Lowokwaru,15000,50m,1.4-2m,10,Ada,Ada,"Ruang ganti, loker, kamar bilas",Cukup,Sangat Mudah,4.2,Tidak,https://maps.app.goo.gl/mgUh4iQ836LCmoz9A
Umum,Kolam Renang Universitas Brawijaya,Jl. Veteran No.1 Kampus UB,Lowokwaru,15000,50m,1-2m,8,Ada,Ada,"Ruang ganti, loker",Cukup,Sangat Mudah,4.1,Tidak,https://maps.app.goo.gl/EZpyPPgsaWdzBbpn6
Umum,Permata Jingga Swimming Pool,Jl. Raya Permata Jingga I Tunggulwulung,Lowokwaru,35000-50000,25m,1.2-1.5m,4,Tidak,Tidak,"Ruang ganti, loker, mushalla, cafe",Bersih,Mudah,4.3,Tidak,https://maps.app.goo.gl/Sn1u3SCu1TUssEKu8
Umum,Araya Family Club House,Jl. Raya Golf Utama No.1 Kedungkandang,Kedungkandang,60000-80000,25m,1-2m,4,Ada,Tidak,"Fitness center, tennis, basket, cafe",Sangat Bersih,Sulit,4.4,Tidak,https://maps.app.goo.gl/7sEWFAz5Xc9pLpMJ9
Umum,Kolam Renang Tarekot,Jl. Simpang Mojopahit No.1,Klojen,5000-15000,20m,1.1-1.5m,4,Tidak,Tidak,"Wahana permainan, jogging track",Cukup,Mudah,3.9,Tidak,https://maps.app.goo.gl/DSXKhvJ7KNncRj977
Umum,Warna Swimming Pool,Jl. Ikhwan Ridwan Rais Gg. IX No.309,Sukun,15000,15m,1.2-1.5m,2,Tidak,Tidak,Kamar bilas,Bersih,Mudah,4.3,Tidak,https://maps.app.goo.gl/FHHzxAqEm1RWYVLW7
Umum,Eco Club Citra Garden City,Jl. The Hill Boulevard Buring,Kedungkandang,30000-40000,25m,1.7m,4,Tidak,Tidak,"2 kolam, snack area",Cukup,Sulit,4.2,Tidak,https://maps.app.goo.gl/csA2PwzJxQXrsv3w7
Umum,NK Swimming Pool,Jl. Candi Panggung No.12 Merjosari,Lowokwaru,30000-50000,25m,1.2-1.5m,4,Tidak,Tidak,"Kolam anak, seluncuran, air mancur",Bersih,Cukup,4.0,Tidak,https://maps.app.goo.gl/Xx2vYSu26pF9jxvx8
Umum,Omah Bamboo Java,Jl. Batu Amaril No.80 Pandanwangi,Blimbing,10000-15000,20m,1.2-1.5m,4,Tidak,Tidak,"4 kolam, suasana teduh bambu",Bersih,Mudah,4.5,Tidak,https://maps.app.goo.gl/bU2GHTaSBij3RNnn8
Umum,Kolam Renang Sulfat,Jl. Simpang Sulfat Selatan Gg. Kolam No.1,Blimbing,10000,15m,1.2-1.5m,2,Tidak,Tidak,Kamar bilas,Cukup,Mudah,3.8,Tidak,https://maps.app.goo.gl/XHHnenrv2yHC6nxK7
Umum,Kolam Renang Lanal Malang,Jl. Yos Sudarso Kasin,Klojen,10000-12000,15m,0.85-1.65m,6,Ada,Ada,"Kamar mandi, kantin, area teduh",Cukup,Mudah,4.1,Tidak,https://maps.app.goo.gl/VFfe1a7CHz7Ep2Hy5
Hotel,Maxone Ascent Hotel Malang,Jl. Jaksa Agung Suprapto No.75A,Klojen,35000-50000,15m,1.2-1.5m,2,Tidak,Tidak,"Rooftop pool, welcome drink, nasi goreng",Bersih,Sangat Mudah,4.4,Tidak,https://maps.app.goo.gl/YLQ4Bm7cQ87XBLYB6
Hotel,Swiss-Belinn Malang,Jl. Veteran No.8A,Klojen,35000-45000,15m,1.2-1.5m,2,Tidak,Tidak,"Kolam dewasa, handuk, welcome drink",Bersih,Sangat Mudah,4.3,Tidak,https://maps.app.goo.gl/xNTKPiA6Joph3xBR9
Hotel,Ubud Cottages Malang,Jl. Bendungan Sigura-gura Barat No.6,Sukun,50000,15m,1.2-1.5m,2,Tidak,Tidak,"Nuansa Bali, gazebo, 2 kolam, handuk",Bersih,Cukup,4.2,Tidak,https://maps.app.goo.gl/gHXaBDrzAdNKQXMQ9
Hotel,Ibis Style Malang,Jl. Letjen S. Parman No.45,Blimbing,50000-75000,15m,1.2-1.5m,2,Tidak,Tidak,"Kolam air hangat semi-indoor, mini gym",Sangat Bersih,Mudah,4.2,Ya,https://maps.app.goo.gl/GEUTezYFXAGPdUKCA
Hotel,Ijen Suites & Convention Malang,Jl. Ijen Nirwana Raya Blok A No.16,Klojen,35000-50000,15m,1.35m,2,Tidak,Tidak,"Kolam rindang, jacuzzi, sauna, fitness center",Bersih,Mudah,4.5,Ya,https://maps.app.goo.gl/ZEghMwLRYzfsCxSo7
Hotel,Grand Mercure Malang,Jl. Raden Panji Suroso No.7,Blimbing,50000-90000,15m,1.2-1.5m,2,Tidak,Tidak,"Kolam outdoor modern, lounge tepi kolam, spa",Sangat Bersih,Mudah,4.6,Ya,https://maps.app.goo.gl/74QXTLvVs7T6Dquc6
Hotel,The Alana Hotel Malang,Jl. Ahmad Yani No.12,Blimbing,50000-90000,15m,1.2-1.5m,2,Tidak,Tidak,"Kolam renang pilihan air hangat/dingin, gym, spa",Bersih,Mudah,4.3,Ya,https://maps.app.goo.gl/tGzWE9uuXGwmFSTi7
Hotel,Atria Hotel Malang,Jl. Letjen S. Parman No.87-89 Purwantoro,Blimbing,50000-75000,15m,1.2-1.5m,2,Tidak,Tidak,"Kolam renang outdoor lantai 3, gym, spa, restoran",Bersih,Mudah,4.4,Tidak,https://maps.app.goo.gl/LGWn6sLNFLNBD8MZ7
